Epoch,Time (s),Train Loss,Validation Loss,Validation Accuracy,mIoU
1,60.97,0.1860772100497116,0.26266657192297654,0.9566853101325757,0.8985040622598449
2,56.94,0.1766707023995394,0.24777907795376247,0.959003659643308,0.9025746025208695
3,56.70,0.15919942747150867,0.2379796685594501,0.9601469775883839,0.904006193391237
4,56.85,0.14661196797456943,0.2258573830729783,0.9623621468592172,0.9125620514061855
5,56.98,0.13495264138575935,0.21946847378605544,0.9638260535037879,0.9186333844773137
6,56.64,0.12950889011147843,0.21532898479037815,0.9644721137152777,0.9156340049162766
7,56.75,0.12581711206692422,0.21075574075332795,0.9654825106534091,0.92109338898748
8,56.54,0.12298807361075609,0.20892654976459465,0.9659546145044192,0.9245451525525948
9,56.41,0.12203002800868248,0.20845331718223264,0.9660348110006313,0.9248026586503683
10,56.48,0.12075584228803009,0.20785906820586234,0.9662018623737374,0.9259240631234524

Final Model Size (MB),12.48
