Epoch,Time (s),Train Loss,Validation Loss,Validation Accuracy,mIoU
1,61.19,0.12032678932695151,0.20795221461190116,0.9661080531881313,0.9255864531649675
2,57.02,0.1190285828143301,0.20463888091270369,0.9669029158775253,0.9283033961017502
3,56.73,0.11529923909685204,0.20277249632459698,0.967035886205808,0.9265534164476458
4,56.59,0.11224448473233865,0.1941528871203914,0.9691934481534091,0.9309767048673151
5,56.77,0.10722138914288577,0.19642695784568787,0.968407808554293,0.9285073462616058
6,56.67,0.10185817691449241,0.18932652774483266,0.9690691583806819,0.9322187308594815
7,56.94,0.09617371218218226,0.18806885468839396,0.9685379675662878,0.9300661272958085
8,56.72,0.09273518415135752,0.18309620474324081,0.9694625946969697,0.9335497763562444
9,56.67,0.09156947550640912,0.1846655799884989,0.9692410432449495,0.9323691949648741
10,56.99,0.09062657139752053,0.1831334043632854,0.9693596610637626,0.9334389274328446

Final Model Size (MB),12.48
