Epoch,Time,Train Loss,Validation Loss,Validation Accuracy, mIoU
1,55.15681982040405,0.3825126824360663,0.8288685902200564,0.810296174636995,0.09406602113932556
2,55.096824169158936,0.28359549842960774,0.5198733150356948,0.8889694306344696,0.7891386336477239
3,54.40886330604553,0.22584618756729902,0.7311262590716584,0.9303537819602272,0.8607175448605466
4,54.79350686073303,0.1906301853238049,0.5775008424363955,0.9428361742424243,0.7664084252053719
5,53.94969892501831,0.16643876647308556,0.28202149874032145,0.9491670119160354,0.7959557680409098
Model Size (MB),7.960498809814453
