Epoch,Time (s),Train Loss,Validation Loss,Validation Accuracy,mIoU
1,35.73,0.09093145519895425,0.18323620401247584,0.9693998086332071,0.9335607350538794
2,28.29,0.09078051298570725,0.18441172651570253,0.9693657275883838,0.9330002649467858
3,27.80,0.08999411138829251,0.17983090094845705,0.9694084891887627,0.9349644047563329
4,27.74,0.08918363588384841,0.17425499133991473,0.9702634252683081,0.9357688726675791
5,27.96,0.0859117220836958,0.1790301784722492,0.9696339863478536,0.9336514866260988
6,28.13,0.08204056203022113,0.17303911905096034,0.9704733368844697,0.9354719159371664
7,27.84,0.07968892328684252,0.17240382836322593,0.970968720407197,0.9367493626881219
8,27.94,0.07858077297684327,0.17124507312822823,0.9712525153882576,0.9374923847341897
9,28.01,0.07798899787401284,0.17128613801917644,0.9711187065972222,0.9372499494589576
10,28.17,0.07716068898590421,0.1716057604009455,0.9710904947916666,0.9371146219506338
11,27.93,0.07811292202825051,0.1697609040773276,0.9716744594381314,0.9391341535876605
12,27.80,0.07792992113647901,0.17130042642656,0.9711795198074495,0.9384669836306867
13,27.82,0.07838112987334805,0.17030150450841344,0.9711291627209596,0.9380886618702687
14,27.48,0.07743293143050912,0.16868302135756522,0.9716290838068182,0.9384803202516793
15,27.37,0.07588429996697321,0.16522114415361425,0.9719130760732323,0.9402971608498113
16,27.26,0.07341040827605637,0.16564216818472352,0.9719417810921717,0.9395753949724988
17,27.70,0.07217470264480576,0.1659770141346286,0.9721846393623738,0.9391748826549585
18,27.85,0.07181475701779413,0.16437329276643617,0.9721304845328282,0.9389028856187577
19,27.92,0.07041566053587736,0.16574629554242798,0.9719819286616161,0.9383560392414424
20,27.75,0.07041395366649482,0.1660165097376313,0.9719856770833334,0.9383169635209168
21,27.72,0.07482781788895547,0.1755290049495119,0.9710704703282829,0.9384802173163574
22,27.85,0.07324147042237408,0.17791883045374746,0.9705776515151515,0.9373317686031166
23,27.98,0.07268724537055918,0.17846894836184954,0.9703298611111111,0.9372359043509264
24,27.65,0.07231188835772809,0.17458977226657096,0.9706938525883838,0.936042554985678
25,27.78,0.07094508438530216,0.17501323783036435,0.9712761896306819,0.9379101418903576
26,28.04,0.06926400541343981,0.1755706485774782,0.9718374664614899,0.9388315968995632
27,28.05,0.06846795298030417,0.17588178256545403,0.9713014421559344,0.9376397830307104
28,28.07,0.06777931652577047,0.17705349247865002,0.9712414180871212,0.9369288355646906
29,27.77,0.06706301220433497,0.17784989136035997,0.9711183613478536,0.9370137002010918
30,27.74,0.06710676350085612,0.17848883072535196,0.9710583866003788,0.9367291512142114
31,27.97,0.09468979813201414,0.23038573939390858,0.9615489859532829,0.918878433481432
32,28.03,0.08509833525558809,0.2000510776885832,0.9668932982165404,0.9272709264771274
33,27.91,0.07920589258826397,0.19722335778101527,0.9681126203440656,0.9302848564949168
34,27.93,0.07607938358685334,0.1999197244042098,0.9679297368213384,0.9297349549813928
35,27.89,0.07495141027927857,0.19789088735676774,0.9679548413825757,0.9294979724959956
36,27.78,0.07324237915581797,0.19534142872299812,0.9687861525410354,0.9307099899442856
37,28.02,0.07204148739919553,0.1942556994129913,0.9689572975852273,0.9323445282973181
38,27.79,0.0709890940282029,0.19404226692035945,0.9690894294507576,0.9322071904440081
39,27.63,0.07060888870091905,0.19433293378714359,0.9689874329229798,0.9320038852831937
40,27.09,0.07083159866465717,0.19403263775989263,0.9690339922664142,0.9320924295734577
41,27.60,0.1752622159794974,1.0400511989689836,0.8210504951862374,0.6271683064307411
42,27.47,0.14190212109496178,0.2798198407346552,0.9517768505366162,0.9013043316885653
43,27.41,0.11986832769155045,0.2277086753435809,0.9616305141256313,0.9220245556949033
44,27.28,0.10816376706917775,0.21700951487126977,0.9630834221117425,0.9252214638453135
45,27.89,0.1007727963338658,0.21209356534962703,0.9642398102114899,0.9273762812321201
46,28.09,0.09754815947643397,0.20868853502201312,0.9647154651988636,0.9282026230292892
47,27.64,0.09498924498308643,0.20878331408356177,0.9648149463383838,0.9281893830608814
48,27.70,0.09259427170378233,0.2087101252994152,0.9653101818970959,0.9290605832669168
49,28.08,0.09285841142032975,0.20648433764775595,0.965515013415404,0.9295041041319602
50,28.47,0.09088694291929365,0.20687035237899934,0.9655476641414141,0.9295638346841718
51,27.79,0.3983359914937999,0.9463943206902706,0.8238497770675505,0.664053475966561
52,28.03,0.26246078078440194,0.50530074461542,0.9070068359375,0.8022159726487316
53,28.25,0.21175336429345173,0.34298064251138705,0.9386189532039141,0.8691386943786719
54,27.76,0.1833139617131905,0.2939843734105428,0.9474660175978535,0.8896586905039273
55,28.15,0.16791425959391237,0.27667592149792297,0.9506989326862374,0.896247564865745
56,28.09,0.15602954791969623,0.2673309391195124,0.9520577355587121,0.8991282290313573
