Epoch,Train Loss,Validation Loss,Validation Accuracy,mIoU
1,0.7629893258757418,0.382843837593541,0.8503593059501262,0.6920720250891635
2,0.1642451957754805,0.1800045587799766,0.933789950284091,0.8483869232663076
3,0.10088856121571645,0.12687395482954353,0.9519243706597222,0.892325605662064
4,0.08330833391928169,0.11188239145158517,0.958044556897096,0.906069991662573
5,0.07444369834123783,0.10427826560205883,0.9606552339804293,0.9131079568087278
6,0.06890326152607484,0.10254456260890672,0.9612211963383839,0.9159304957034587
7,0.06334328249297078,0.09981641639964749,0.9623574613320707,0.9191011608764829
8,0.05931226976659156,0.09774757312102751,0.9630569858743687,0.9209589330450493
9,0.05741306253478303,0.09566431409782833,0.9636340455334595,0.9213983776909992
10,0.05548037398542186,0.09415099333332043,0.9639183830492424,0.9227174314638006
11,0.05371060377405152,0.09378828672748624,0.9639832406092171,0.922157192413144
12,0.052297128694071195,0.09353235966027384,0.964165680239899,0.9234105627469257
13,0.05123365615242502,0.09208568260826246,0.964569276751894,0.9241137276652309
14,0.050657302229852916,0.0922266093618942,0.9643978357796718,0.9232449815460493
15,0.04933746133049711,0.09201771397181231,0.964651396780303,0.9239417355607982
16,0.04885427079050875,0.09149577190177609,0.964982392282197,0.9250790571629676
17,0.048584851684073796,0.0916538198638444,0.9648667337436869,0.9247274528830514
18,0.04854886247535127,0.0915499066915175,0.9649467329545455,0.9245967939610233
19,0.04854937787677185,0.09126275288637238,0.9650503077651515,0.9250213997925151
20,0.04827683180456198,0.09136672257775008,0.9649926017992424,0.9250236172571714
