Epoch,Train Loss,Validation Loss,Validation Accuracy,mIoU
1,0.8877628558656762,0.642495273339628,0.7398572640467171,0.533942785751588
2,0.26461106597690803,0.3037215597701795,0.8895582780934344,0.7593027540093548
3,0.120018752568514,0.16879543631967872,0.9355216717960858,0.8555993484365548
4,0.0934384168166803,0.13156568597663532,0.9495759844539141,0.8885893133094495
5,0.07836691058471427,0.11649444669184059,0.955969114977904,0.9022555504874171
6,0.07092337519674063,0.10731307289215049,0.9594327552872475,0.9089489079292082
7,0.06586175303827549,0.09910636786559615,0.9631672190656566,0.9215164355292615
8,0.061572276419046515,0.09852439488726433,0.9635871902619949,0.921506406687366
9,0.05856123288482027,0.09298783691242488,0.9656865037089647,0.926097699760819
10,0.05587190110629671,0.09422362242082152,0.9651024404198232,0.9254908532005105
11,0.05424407943654198,0.08978981615015955,0.96650390625,0.9281236062981281
12,0.05266084157059151,0.09041026625970397,0.9663870639993687,0.9286103638090394
13,0.05114971089271575,0.0895568761560652,0.9665335483743687,0.9289214703769649
14,0.04990213279989539,0.08833165451733753,0.9667579111426767,0.9293607628859816
15,0.04976882195375474,0.08769147444253016,0.9670574889520202,0.9301237272118555
16,0.04864161093495858,0.08744989915026559,0.9670821496212121,0.930152309920147
17,0.048361923801578624,0.0870500561414343,0.9672523082386364,0.9305025914444597
18,0.048374176402924844,0.08696647846337521,0.9672831340751262,0.9305373382773486
19,0.048292443572388044,0.08705947329901685,0.9672533439867425,0.9304953904779527
20,0.0480884056659898,0.08685990882040275,0.9673028626104798,0.9306622793941438
